Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org

Imported terrain: 7 cases, 0 failures
Mountainous Region start: 4 cases, 0 failures
Imported terrain view: 9 cases, 0 failures
Main menu and saved sessions: 15 cases, 0 failures
Foundation presentation: 6 cases, 0 failures
Foundation preparation: 13 cases, 0 failures
Foundation saves: 9 cases, 0 failures
Building footprints: 14 cases, 0 failures
Lumber hut footprint revision: 12 cases, 0 failures
Footprint saves: 8 cases, 0 failures
Footprint economy integration: 3 cases, 0 failures
Footprint rendering and input: 7 cases, 0 failures
Worker movement: 6 cases, 0 failures
Eight-way paths: 10 cases, 0 failures
Diagonal movement: 9 cases, 0 failures
Diagonal trails: 6 cases, 0 failures
Idle yielding: 10 cases, 0 failures
Narrow-lane yielding: 9 cases, 0 failures
Idle movement recovery: 4 cases, 0 failures
Yield destination recovery: 3 cases, 0 failures
Fog of war: 10 cases, 0 failures
Fog saves: 9 cases, 0 failures
Fog presentation and input: 8 cases, 0 failures
Fog gameplay activation: 4 cases, 0 failures
Sustained carrier traffic: 7 cases, 0 failures
Trail save compatibility: 8 cases, 0 failures
Natural trail wear: 14 cases, 0 failures
Natural trail rendering: 9 cases, 0 failures
One worker per workplace: 20 cases, 0 failures
Workplace save compatibility: 11 cases, 0 failures
Forester and fisher hut UI: 4 cases, 0 failures
Forester hut: 11 cases, 0 failures
Fisher hut: 5 cases, 0 failures
Indoor save compatibility: 6 cases, 0 failures
Indoor worker lifecycle: 10 cases, 0 failures
Calendar clock: 7 cases, 0 failures
Solar light cycle: 8 cases, 0 failures
Civilian daily schedule: 10 cases, 0 failures
Workers' housing: 9 cases, 0 failures
Night schedule save compatibility: 9 cases, 0 failures
Night meals and deferred cargo: 6 cases, 0 failures
Save validation: 4 cases, 0 failures
Grid configuration: 2 cases, 0 failures
Economy invariants: 2 cases, 0 failures
TRANSPORT SEARCH WORK: generation=1, validation=1, pickup=9 route calls for 8 consumers
Transport destination searches: 5 cases, 0 failures
Production chains: 15 cases, 0 failures
Natural deposits and saves: 9 cases, 0 failures
Classic economy: 11 cases, 0 failures
Civilian inn meals: 12 cases, 0 failures
Military food deliveries: 14 cases, 0 failures
Food save compatibility: 8 cases, 0 failures
Food controls: 6 cases, 0 failures
Daily hunger: 8 cases, 0 failures
Gentle seven-day nutrition: 13 cases, 0 failures
Seven-day nutrition saves: 8 cases, 0 failures
Seven-day nutrition indicators: 5 cases, 0 failures
Visible satiety: 6 cases, 0 failures
Individual work and building pause: 12 cases, 0 failures
Pause save compatibility: 9 cases, 0 failures
Read-only first-person thoughts: 10 cases, 0 failures
Activity inspector and controls: 7 cases, 0 failures
KaM construction prices: 3 cases, 0 failures
Construction cost compatibility: 7 cases, 0 failures
Construction cancellation: 7 cases, 0 failures
Resource stock accounting: 7 cases, 0 failures
Terrain heights: 9 cases, 0 failures
Terrain rendering: 4 cases, 0 failures
Terrain change tracking: 6 cases, 0 failures
Relief demo: 3 cases, 0 failures
Minimal test level: 4 cases, 0 failures
Viewport input: 4 cases, 0 failures
HUD layout and navigation: 16 cases, 0 failures
Calendar clock HUD: 4 cases, 0 failures
Night schedule HUD: 5 cases, 0 failures
Sky clock HUD: 5 cases, 0 failures
Solar lighting and shadows: 8 cases, 0 failures
Responsive window layout: 5 cases, 0 failures
HUD scaling policy: 7 cases, 0 failures
Czech HUD names and counts: 5 cases, 0 failures
Night wolves: 17 cases, 0 failures
Night wolves save: 5 cases, 0 failures
Construction cancellation UI: 2 cases, 0 failures
Painted lumber-hut construction: 12 cases, 0 failures
Painted lumber-hut stock: 8 cases, 0 failures
Lumber-hut presence and night life: 13 cases, 0 failures
Painted sawmill integration: 8 cases, 0 failures
Production-building home life: 12 cases, 0 failures
Physical sawmill stocks and productive clock: 21 cases, 0 failures
Relief viewport: 6 cases, 0 failures
Square terrain and slope readability: 8 cases, 0 failures
Unit sprites: 6 cases, 0 failures
Lumberjack animation assets and alpha: 6 cases, 0 failures
Lumberjack observed animation state: 10 cases, 0 failures
Lumberjack game presentation: 13 cases, 0 failures
Indoor unit visibility: 6 cases, 0 failures
Environment graphics: 8 cases, 0 failures
Retained terrain cache: 8 cases, 0 failures
Painted V1 terrain: 12 cases, 0 failures
Painted V1 material data: 8 cases, 0 failures
Painted V1 source metadata: 7 cases, 0 failures
TEST RESULT: 854/854 passed
